MICROEXP  SIMNAME SELCOEF TIMEMUT
SMALLsEARLYt	1	0.02	275
SMALLsEARLYt	2	0.02	275
SMALLsEARLYt	3	0.02	275
SMALLsEARLYt	4	0.02	275
SMALLsEARLYt	5	0.02	275
SMALLsEARLYt	6	0.02	275
SMALLsEARLYt	7	0.02	275
SMALLsEARLYt	8	0.02	275
SMALLsEARLYt	9	0.02	275
SMALLsEARLYt	10	0.02	275
SMALLsEARLYt	11	0.02	275
SMALLsEARLYt	12	0.02	275
SMALLsEARLYt	13	0.02	275
SMALLsEARLYt	14	0.02	275
SMALLsEARLYt	15	0.02	275
SMALLsEARLYt	16	0.02	275
SMALLsEARLYt	17	0.02	275
SMALLsEARLYt	18	0.02	275
SMALLsEARLYt	19	0.02	275
SMALLsEARLYt	20	0.02	275
SMALLsEARLYt	21	0.02	275
SMALLsEARLYt	22	0.02	275
SMALLsEARLYt	23	0.02	275
SMALLsEARLYt	24	0.02	275
SMALLsEARLYt	25	0.02	275
SMALLsEARLYt	26	0.02	275
SMALLsEARLYt	27	0.02	275
SMALLsEARLYt	28	0.02	275
SMALLsEARLYt	29	0.02	275
SMALLsEARLYt	30	0.02	275
SMALLsEARLYt	31	0.02	275
SMALLsEARLYt	32	0.02	275
SMALLsEARLYt	33	0.02	275
SMALLsEARLYt	34	0.02	275
SMALLsEARLYt	35	0.02	275
SMALLsEARLYt	36	0.02	275
SMALLsEARLYt	37	0.02	275
SMALLsEARLYt	38	0.02	275
SMALLsEARLYt	39	0.02	275
SMALLsEARLYt	40	0.02	275
SMALLsEARLYt	41	0.02	275
SMALLsEARLYt	42	0.02	275
SMALLsEARLYt	43	0.02	275
SMALLsEARLYt	44	0.02	275
SMALLsEARLYt	45	0.02	275
SMALLsEARLYt	46	0.02	275
SMALLsEARLYt	47	0.02	275
SMALLsEARLYt	48	0.02	275
SMALLsEARLYt	49	0.02	275
SMALLsEARLYt	50	0.02	275
SMALLsEARLYt	51	0.02	275
SMALLsEARLYt	52	0.02	275
SMALLsEARLYt	53	0.02	275
SMALLsEARLYt	54	0.02	275
SMALLsEARLYt	55	0.02	275
SMALLsEARLYt	56	0.02	275
SMALLsEARLYt	57	0.02	275
SMALLsEARLYt	58	0.02	275
SMALLsEARLYt	59	0.02	275
SMALLsEARLYt	60	0.02	275
SMALLsEARLYt	61	0.02	275
SMALLsEARLYt	62	0.02	275
SMALLsEARLYt	63	0.02	275
SMALLsEARLYt	64	0.02	275
SMALLsEARLYt	65	0.02	275
SMALLsEARLYt	66	0.02	275
SMALLsEARLYt	67	0.02	275
SMALLsEARLYt	68	0.02	275
SMALLsEARLYt	69	0.02	275
SMALLsEARLYt	70	0.02	275
SMALLsEARLYt	71	0.02	275
SMALLsEARLYt	72	0.02	275
SMALLsEARLYt	73	0.02	275
SMALLsEARLYt	74	0.02	275
SMALLsEARLYt	75	0.02	275
SMALLsEARLYt	76	0.02	275
SMALLsEARLYt	77	0.02	275
SMALLsEARLYt	78	0.02	275
SMALLsEARLYt	79	0.02	275
SMALLsEARLYt	80	0.02	275
SMALLsEARLYt	81	0.02	275
SMALLsEARLYt	82	0.02	275
SMALLsEARLYt	83	0.02	275
SMALLsEARLYt	84	0.02	275
SMALLsEARLYt	85	0.02	275
SMALLsEARLYt	86	0.02	275
SMALLsEARLYt	87	0.02	275
SMALLsEARLYt	88	0.02	275
SMALLsEARLYt	89	0.02	275
SMALLsEARLYt	90	0.02	275
SMALLsEARLYt	91	0.02	275
SMALLsEARLYt	92	0.02	275
SMALLsEARLYt	93	0.02	275
SMALLsEARLYt	94	0.02	275
SMALLsEARLYt	95	0.02	275
SMALLsEARLYt	96	0.02	275
SMALLsEARLYt	97	0.02	275
SMALLsEARLYt	98	0.02	275
SMALLsEARLYt	99	0.02	275
SMALLsEARLYt	100	0.02	275
SMALLsEARLYt	101	0.02	275
SMALLsEARLYt	102	0.02	275
SMALLsEARLYt	103	0.02	275
SMALLsEARLYt	104	0.02	275
SMALLsEARLYt	105	0.02	275
SMALLsEARLYt	106	0.02	275
SMALLsEARLYt	107	0.02	275
SMALLsEARLYt	108	0.02	275
SMALLsEARLYt	109	0.02	275
SMALLsEARLYt	110	0.02	275
SMALLsEARLYt	111	0.02	275
SMALLsEARLYt	112	0.02	275
SMALLsEARLYt	113	0.02	275
SMALLsEARLYt	114	0.02	275
SMALLsEARLYt	115	0.02	275
SMALLsEARLYt	116	0.02	275
SMALLsEARLYt	117	0.02	275
SMALLsEARLYt	118	0.02	275
SMALLsEARLYt	119	0.02	275
SMALLsEARLYt	120	0.02	275
SMALLsEARLYt	121	0.02	275
SMALLsEARLYt	122	0.02	275
SMALLsEARLYt	123	0.02	275
SMALLsEARLYt	124	0.02	275
SMALLsEARLYt	125	0.02	275
SMALLsEARLYt	126	0.02	275
SMALLsEARLYt	127	0.02	275
SMALLsEARLYt	128	0.02	275
SMALLsEARLYt	129	0.02	275
SMALLsEARLYt	130	0.02	275
SMALLsEARLYt	131	0.02	275
SMALLsEARLYt	132	0.02	275
SMALLsEARLYt	133	0.02	275
SMALLsEARLYt	134	0.02	275
SMALLsEARLYt	135	0.02	275
SMALLsEARLYt	136	0.02	275
SMALLsEARLYt	137	0.02	275
SMALLsEARLYt	138	0.02	275
SMALLsEARLYt	139	0.02	275
SMALLsEARLYt	140	0.02	275
SMALLsEARLYt	141	0.02	275
SMALLsEARLYt	142	0.02	275
SMALLsEARLYt	143	0.02	275
SMALLsEARLYt	144	0.02	275
SMALLsEARLYt	145	0.02	275
SMALLsEARLYt	146	0.02	275
SMALLsEARLYt	147	0.02	275
SMALLsEARLYt	148	0.02	275
SMALLsEARLYt	149	0.02	275
SMALLsEARLYt	150	0.02	275
SMALLsEARLYt	151	0.02	275
SMALLsEARLYt	152	0.02	275
SMALLsEARLYt	153	0.02	275
SMALLsEARLYt	154	0.02	275
SMALLsEARLYt	155	0.02	275
SMALLsEARLYt	156	0.02	275
SMALLsEARLYt	157	0.02	275
SMALLsEARLYt	158	0.02	275
SMALLsEARLYt	159	0.02	275
SMALLsEARLYt	160	0.02	275
SMALLsEARLYt	161	0.02	275
SMALLsEARLYt	162	0.02	275
SMALLsEARLYt	163	0.02	275
SMALLsEARLYt	164	0.02	275
SMALLsEARLYt	165	0.02	275
SMALLsEARLYt	166	0.02	275
SMALLsEARLYt	167	0.02	275
SMALLsEARLYt	168	0.02	275
SMALLsEARLYt	169	0.02	275
SMALLsEARLYt	170	0.02	275
SMALLsEARLYt	171	0.02	275
SMALLsEARLYt	172	0.02	275
SMALLsEARLYt	173	0.02	275
SMALLsEARLYt	174	0.02	275
SMALLsEARLYt	175	0.02	275
SMALLsEARLYt	176	0.02	275
SMALLsEARLYt	177	0.02	275
SMALLsEARLYt	178	0.02	275
SMALLsEARLYt	179	0.02	275
SMALLsEARLYt	180	0.02	275
SMALLsEARLYt	181	0.02	275
SMALLsEARLYt	182	0.02	275
SMALLsEARLYt	183	0.02	275
SMALLsEARLYt	184	0.02	275
SMALLsEARLYt	185	0.02	275
SMALLsEARLYt	186	0.02	275
SMALLsEARLYt	187	0.02	275
SMALLsEARLYt	188	0.02	275
SMALLsEARLYt	189	0.02	275
SMALLsEARLYt	190	0.02	275
SMALLsEARLYt	191	0.02	275
SMALLsEARLYt	192	0.02	275
SMALLsEARLYt	193	0.02	275
SMALLsEARLYt	194	0.02	275
SMALLsEARLYt	195	0.02	275
SMALLsEARLYt	196	0.02	275
SMALLsEARLYt	197	0.02	275
SMALLsEARLYt	198	0.02	275
SMALLsEARLYt	199	0.02	275
SMALLsEARLYt	200	0.02	275
SMALLsMIDt	1	0.02	325
SMALLsMIDt	2	0.02	325
SMALLsMIDt	3	0.02	325
SMALLsMIDt	4	0.02	325
SMALLsMIDt	5	0.02	325
SMALLsMIDt	6	0.02	325
SMALLsMIDt	7	0.02	325
SMALLsMIDt	8	0.02	325
SMALLsMIDt	9	0.02	325
SMALLsMIDt	10	0.02	325
SMALLsMIDt	11	0.02	325
SMALLsMIDt	12	0.02	325
SMALLsMIDt	13	0.02	325
SMALLsMIDt	14	0.02	325
SMALLsMIDt	15	0.02	325
SMALLsMIDt	16	0.02	325
SMALLsMIDt	17	0.02	325
SMALLsMIDt	18	0.02	325
SMALLsMIDt	19	0.02	325
SMALLsMIDt	20	0.02	325
SMALLsMIDt	21	0.02	325
SMALLsMIDt	22	0.02	325
SMALLsMIDt	23	0.02	325
SMALLsMIDt	24	0.02	325
SMALLsMIDt	25	0.02	325
SMALLsMIDt	26	0.02	325
SMALLsMIDt	27	0.02	325
SMALLsMIDt	28	0.02	325
SMALLsMIDt	29	0.02	325
SMALLsMIDt	30	0.02	325
SMALLsMIDt	31	0.02	325
SMALLsMIDt	32	0.02	325
SMALLsMIDt	33	0.02	325
SMALLsMIDt	34	0.02	325
SMALLsMIDt	35	0.02	325
SMALLsMIDt	36	0.02	325
SMALLsMIDt	37	0.02	325
SMALLsMIDt	38	0.02	325
SMALLsMIDt	39	0.02	325
SMALLsMIDt	40	0.02	325
SMALLsMIDt	41	0.02	325
SMALLsMIDt	42	0.02	325
SMALLsMIDt	43	0.02	325
SMALLsMIDt	44	0.02	325
SMALLsMIDt	45	0.02	325
SMALLsMIDt	46	0.02	325
SMALLsMIDt	47	0.02	325
SMALLsMIDt	48	0.02	325
SMALLsMIDt	49	0.02	325
SMALLsMIDt	50	0.02	325
SMALLsMIDt	51	0.02	325
SMALLsMIDt	52	0.02	325
SMALLsMIDt	53	0.02	325
SMALLsMIDt	54	0.02	325
SMALLsMIDt	55	0.02	325
SMALLsMIDt	56	0.02	325
SMALLsMIDt	57	0.02	325
SMALLsMIDt	58	0.02	325
SMALLsMIDt	59	0.02	325
SMALLsMIDt	60	0.02	325
SMALLsMIDt	61	0.02	325
SMALLsMIDt	62	0.02	325
SMALLsMIDt	63	0.02	325
SMALLsMIDt	64	0.02	325
SMALLsMIDt	65	0.02	325
SMALLsMIDt	66	0.02	325
SMALLsMIDt	67	0.02	325
SMALLsMIDt	68	0.02	325
SMALLsMIDt	69	0.02	325
SMALLsMIDt	70	0.02	325
SMALLsMIDt	71	0.02	325
SMALLsMIDt	72	0.02	325
SMALLsMIDt	73	0.02	325
SMALLsMIDt	74	0.02	325
SMALLsMIDt	75	0.02	325
SMALLsMIDt	76	0.02	325
SMALLsMIDt	77	0.02	325
SMALLsMIDt	78	0.02	325
SMALLsMIDt	79	0.02	325
SMALLsMIDt	80	0.02	325
SMALLsMIDt	81	0.02	325
SMALLsMIDt	82	0.02	325
